"filename", "language", "Markdown", "JSON", "XML", "C#", "HTTP", "comment", "blank", "total"
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\Docs\Domain Models\Aggregates.Person.md", "Markdown", 39, 0, 0, 0, 0, 0, 9, 48
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\Docs\Domain Models\Aggregates.ProductRequest.md", "Markdown", 21, 0, 0, 0, 0, 0, 7, 28
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\Docs\Questions.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\Docs\Todo.md", "Markdown", 11, 0, 0, 0, 0, 0, 12, 23
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Common\Errors\CustomProblemDetailsFactory.cs", "C#", 0, 0, 0, 81, 0, 1, 20, 102
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Common\Filters\ErrorsHandlingFeatureAttribute.cs", "C#", 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Common\Http\HttpErrorTypes.cs", "C#", 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Common\Mapping\AuthenticationMappingConfig.cs", "C#", 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Common\Mapping\DependencyInjection.cs", "C#", 0, 0, 0, 19, 0, 0, 5, 24
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Common\Mapping\ProductMappingConfig.cs", "C#", 0, 0, 0, 27, 0, 0, 3, 30
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Controllers\ApiController.cs", "C#", 0, 0, 0, 53, 0, 0, 10, 63
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Controllers\AuthenticationController.cs", "C#", 0, 0, 0, 42, 0, 0, 12, 54
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Controllers\CustomerController.cs", "C#", 0, 0, 0, 48, 0, 2, 10, 60
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Controllers\ErrorsController.cs", "C#", 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Controllers\ProductsController.cs", "C#", 0, 0, 0, 27, 0, 9, 11, 47
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\DependencyInjection.cs", "C#", 0, 0, 0, 14, 0, 1, 3, 18
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\MemberInfo.Api.csproj", "XML", 0, 0, 19, 0, 0, 0, 7, 26
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Program.cs", "C#", 0, 0, 0, 18, 0, 0, 9, 27
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\Properties\launchSettings.json", "JSON", 0, 31, 0, 0, 0, 0, 1, 32
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\appsettings.Development.json", "JSON", 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Api\appsettings.json", "JSON", 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Application\Authentication\Commands\Register\RegisterCommand.cs", "C#", 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Application\Authentication\Commands\Register\RegisterCommandHandler.cs", "C#", 0, 0, 0, 40, 0, 0, 9, 49
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Application\Authentication\Commands\Register\RegisterCommandValidator.cs", "C#", 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Application\Authentication\Common\AuthenticationResult.cs", "C#", 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Application\Authentication\Queries\Login\LoginQuery.cs", "C#", 0, 0, 0, 9, 0, 0, 3, 12
